['LD', 'SECOND']
['ST', 'TEMP']
['ADD', 'FIRST']
['ST', 'SECOND']
['DIV', '#2']
['MUL', '#2']
['CMP', 'SECOND']
['JNZ', '.GO']
['LD', 'RESULT']
['ADD', 'SECOND']
['ST', 'RESULT']
['LD', 'TEMP']
['ST', 'FIRST']
['LD', 'SECOND']
['CMP', 'LIMIT']
['JS', '.LOOP']
['LD', 'RESULT']
['SUB', 'SECOND']
['HLT']
DEBUG:root:{ Tick:313, BR:0, AC:34, SP:256, PS:2, IP:7, AR:7 }  CMP SECOND
DEBUG:root:{ Tick:315, BR:0, AC:34, SP:256, PS:2, IP:8, AR:8 }  JNZ .GO
DEBUG:root:{ Tick:320, BR:0, AC:10, SP:256, PS:2, IP:9, AR:9 }  LD RESULT
DEBUG:root:{ Tick:326, BR:0, AC:44, SP:256, PS:2, IP:10, AR:10 }  ADD SECOND
DEBUG:root:{ Tick:329, BR:0, AC:44, SP:256, PS:2, IP:11, AR:11 }  ST RESULT
DEBUG:root:{ Tick:334, BR:0, AC:21, SP:256, PS:2, IP:12, AR:12 }  LD TEMP
DEBUG:root:{ Tick:337, BR:0, AC:21, SP:256, PS:2, IP:13, AR:13 }  ST FIRST
DEBUG:root:{ Tick:342, BR:0, AC:34, SP:256, PS:2, IP:14, AR:14 }  LD SECOND
DEBUG:root:{ Tick:347, BR:0, AC:34, SP:256, PS:1, IP:15, AR:15 }  CMP LIMIT
DEBUG:root:{ Tick:350, BR:0, AC:34, SP:256, PS:1, IP:0, AR:0 }  JS .LOOP
DEBUG:root:{ Tick:355, BR:0, AC:34, SP:256, PS:1, IP:1, AR:1 }  LD SECOND
DEBUG:root:{ Tick:358, BR:0, AC:34, SP:256, PS:1, IP:2, AR:2 }  ST TEMP
DEBUG:root:{ Tick:364, BR:0, AC:55, SP:256, PS:1, IP:3, AR:3 }  ADD FIRST
DEBUG:root:{ Tick:367, BR:0, AC:55, SP:256, PS:1, IP:4, AR:4 }  ST SECOND
DEBUG:root:{ Tick:371, BR:0, AC:27, SP:256, PS:1, IP:5, AR:5 }  DIV #2
DEBUG:root:{ Tick:375, BR:0, AC:54, SP:256, PS:1, IP:6, AR:6 }  MUL #2
DEBUG:root:{ Tick:380, BR:0, AC:54, SP:256, PS:1, IP:7, AR:7 }  CMP SECOND
DEBUG:root:{ Tick:383, BR:0, AC:54, SP:256, PS:1, IP:11, AR:11 }  JNZ .GO
DEBUG:root:{ Tick:388, BR:0, AC:34, SP:256, PS:1, IP:12, AR:12 }  LD TEMP
DEBUG:root:{ Tick:391, BR:0, AC:34, SP:256, PS:1, IP:13, AR:13 }  ST FIRST
DEBUG:root:{ Tick:396, BR:0, AC:55, SP:256, PS:1, IP:14, AR:14 }  LD SECOND
DEBUG:root:{ Tick:401, BR:0, AC:55, SP:256, PS:1, IP:15, AR:15 }  CMP LIMIT
DEBUG:root:{ Tick:404, BR:0, AC:55, SP:256, PS:1, IP:0, AR:0 }  JS .LOOP
DEBUG:root:{ Tick:409, BR:0, AC:55, SP:256, PS:1, IP:1, AR:1 }  LD SECOND
DEBUG:root:{ Tick:412, BR:0, AC:55, SP:256, PS:1, IP:2, AR:2 }  ST TEMP
DEBUG:root:{ Tick:418, BR:0, AC:89, SP:256, PS:1, IP:3, AR:3 }  ADD FIRST
DEBUG:root:{ Tick:421, BR:0, AC:89, SP:256, PS:1, IP:4, AR:4 }  ST SECOND
DEBUG:root:{ Tick:425, BR:0, AC:44, SP:256, PS:1, IP:5, AR:5 }  DIV #2
DEBUG:root:{ Tick:429, BR:0, AC:88, SP:256, PS:1, IP:6, AR:6 }  MUL #2
DEBUG:root:{ Tick:434, BR:0, AC:88, SP:256, PS:1, IP:7, AR:7 }  CMP SECOND
DEBUG:root:{ Tick:437, BR:0, AC:88, SP:256, PS:1, IP:11, AR:11 }  JNZ .GO
DEBUG:root:{ Tick:442, BR:0, AC:55, SP:256, PS:1, IP:12, AR:12 }  LD TEMP
DEBUG:root:{ Tick:445, BR:0, AC:55, SP:256, PS:1, IP:13, AR:13 }  ST FIRST
DEBUG:root:{ Tick:450, BR:0, AC:89, SP:256, PS:1, IP:14, AR:14 }  LD SECOND
DEBUG:root:{ Tick:455, BR:0, AC:89, SP:256, PS:1, IP:15, AR:15 }  CMP LIMIT
DEBUG:root:{ Tick:458, BR:0, AC:89, SP:256, PS:1, IP:0, AR:0 }  JS .LOOP
DEBUG:root:{ Tick:463, BR:0, AC:89, SP:256, PS:1, IP:1, AR:1 }  LD SECOND
DEBUG:root:{ Tick:466, BR:0, AC:89, SP:256, PS:1, IP:2, AR:2 }  ST TEMP
DEBUG:root:{ Tick:472, BR:0, AC:144, SP:256, PS:1, IP:3, AR:3 }  ADD FIRST
DEBUG:root:{ Tick:475, BR:0, AC:144, SP:256, PS:1, IP:4, AR:4 }  ST SECOND
DEBUG:root:{ Tick:479, BR:0, AC:72, SP:256, PS:1, IP:5, AR:5 }  DIV #2
DEBUG:root:{ Tick:483, BR:0, AC:144, SP:256, PS:1, IP:6, AR:6 }  MUL #2
DEBUG:root:{ Tick:488, BR:0, AC:144, SP:256, PS:2, IP:7, AR:7 }  CMP SECOND
DEBUG:root:{ Tick:490, BR:0, AC:144, SP:256, PS:2, IP:8, AR:8 }  JNZ .GO
DEBUG:root:{ Tick:495, BR:0, AC:44, SP:256, PS:2, IP:9, AR:9 }  LD RESULT
DEBUG:root:{ Tick:501, BR:0, AC:188, SP:256, PS:2, IP:10, AR:10 }  ADD SECOND
DEBUG:root:{ Tick:504, BR:0, AC:188, SP:256, PS:2, IP:11, AR:11 }  ST RESULT
DEBUG:root:{ Tick:509, BR:0, AC:89, SP:256, PS:2, IP:12, AR:12 }  LD TEMP
DEBUG:root:{ Tick:512, BR:0, AC:89, SP:256, PS:2, IP:13, AR:13 }  ST FIRST
DEBUG:root:{ Tick:517, BR:0, AC:144, SP:256, PS:2, IP:14, AR:14 }  LD SECOND
DEBUG:root:{ Tick:522, BR:0, AC:144, SP:256, PS:1, IP:15, AR:15 }  CMP LIMIT
DEBUG:root:{ Tick:525, BR:0, AC:144, SP:256, PS:1, IP:0, AR:0 }  JS .LOOP
DEBUG:root:{ Tick:530, BR:0, AC:144, SP:256, PS:1, IP:1, AR:1 }  LD SECOND
DEBUG:root:{ Tick:533, BR:0, AC:144, SP:256, PS:1, IP:2, AR:2 }  ST TEMP
DEBUG:root:{ Tick:539, BR:0, AC:233, SP:256, PS:1, IP:3, AR:3 }  ADD FIRST
DEBUG:root:{ Tick:542, BR:0, AC:233, SP:256, PS:1, IP:4, AR:4 }  ST SECOND
DEBUG:root:{ Tick:546, BR:0, AC:116, SP:256, PS:1, IP:5, AR:5 }  DIV #2
DEBUG:root:{ Tick:550, BR:0, AC:232, SP:256, PS:1, IP:6, AR:6 }  MUL #2
DEBUG:root:{ Tick:555, BR:0, AC:232, SP:256, PS:1, IP:7, AR:7 }  CMP SECOND
DEBUG:root:{ Tick:558, BR:0, AC:232, SP:256, PS:1, IP:11, AR:11 }  JNZ .GO
DEBUG:root:{ Tick:563, BR:0, AC:144, SP:256, PS:1, IP:12, AR:12 }  LD TEMP
DEBUG:root:{ Tick:566, BR:0, AC:144, SP:256, PS:1, IP:13, AR:13 }  ST FIRST
DEBUG:root:{ Tick:571, BR:0, AC:233, SP:256, PS:1, IP:14, AR:14 }  LD SECOND
DEBUG:root:{ Tick:576, BR:0, AC:233, SP:256, PS:1, IP:15, AR:15 }  CMP LIMIT
DEBUG:root:{ Tick:579, BR:0, AC:233, SP:256, PS:1, IP:0, AR:0 }  JS .LOOP
DEBUG:root:{ Tick:584, BR:0, AC:233, SP:256, PS:1, IP:1, AR:1 }  LD SECOND
DEBUG:root:{ Tick:587, BR:0, AC:233, SP:256, PS:1, IP:2, AR:2 }  ST TEMP
DEBUG:root:{ Tick:593, BR:0, AC:377, SP:256, PS:1, IP:3, AR:3 }  ADD FIRST
DEBUG:root:{ Tick:596, BR:0, AC:377, SP:256, PS:1, IP:4, AR:4 }  ST SECOND
DEBUG:root:{ Tick:600, BR:0, AC:188, SP:256, PS:1, IP:5, AR:5 }  DIV #2
DEBUG:root:{ Tick:604, BR:0, AC:376, SP:256, PS:1, IP:6, AR:6 }  MUL #2
DEBUG:root:{ Tick:609, BR:0, AC:376, SP:256, PS:1, IP:7, AR:7 }  CMP SECOND
DEBUG:root:{ Tick:612, BR:0, AC:376, SP:256, PS:1, IP:11, AR:11 }  JNZ .GO
DEBUG:root:{ Tick:617, BR:0, AC:233, SP:256, PS:1, IP:12, AR:12 }  LD TEMP
DEBUG:root:{ Tick:620, BR:0, AC:233, SP:256, PS:1, IP:13, AR:13 }  ST FIRST
DEBUG:root:{ Tick:625, BR:0, AC:377, SP:256, PS:1, IP:14, AR:14 }  LD SECOND
DEBUG:root:{ Tick:630, BR:0, AC:377, SP:256, PS:1, IP:15, AR:15 }  CMP LIMIT
DEBUG:root:{ Tick:633, BR:0, AC:377, SP:256, PS:1, IP:0, AR:0 }  JS .LOOP
DEBUG:root:{ Tick:638, BR:0, AC:377, SP:256, PS:1, IP:1, AR:1 }  LD SECOND
DEBUG:root:{ Tick:641, BR:0, AC:377, SP:256, PS:1, IP:2, AR:2 }  ST TEMP
DEBUG:root:{ Tick:647, BR:0, AC:610, SP:256, PS:1, IP:3, AR:3 }  ADD FIRST
DEBUG:root:{ Tick:650, BR:0, AC:610, SP:256, PS:1, IP:4, AR:4 }  ST SECOND
DEBUG:root:{ Tick:654, BR:0, AC:305, SP:256, PS:1, IP:5, AR:5 }  DIV #2
DEBUG:root:{ Tick:658, BR:0, AC:610, SP:256, PS:1, IP:6, AR:6 }  MUL #2
DEBUG:root:{ Tick:663, BR:0, AC:610, SP:256, PS:2, IP:7, AR:7 }  CMP SECOND
DEBUG:root:{ Tick:665, BR:0, AC:610, SP:256, PS:2, IP:8, AR:8 }  JNZ .GO
DEBUG:root:{ Tick:670, BR:0, AC:188, SP:256, PS:2, IP:9, AR:9 }  LD RESULT
